"Activity name","Activity status","Error","Activity type","Run start","Duration","Integration runtime","User properties","Activity run ID","Log"
"Build Churn Model","Succeeded","","DatabricksNotebook","6/1/2026, 12:07:07 PM","38s","AutoResolveIntegrationRuntime (South India)","{}","7d36e9f1-4b71-43f7-84ad-5f506b086187",""
"build churn features","Succeeded","","DatabricksNotebook","6/1/2026, 12:06:27 PM","39s","AutoResolveIntegrationRuntime (South India)","{}","a1e6a147-6c50-4d4e-beda-3eb46c7eac9e",""
"Silver to Gold","Succeeded","","DatabricksNotebook","6/1/2026, 12:04:14 PM","2m 11s","AutoResolveIntegrationRuntime (South India)","{}","95b2c2cd-4952-4519-a390-8b45285a5b40",""
"Bronze to Silver","Succeeded","","DatabricksNotebook","6/1/2026, 11:57:31 AM","6m 42s","AutoResolveIntegrationRuntime (South India)","{}","d7e79eaa-da52-493e-9623-992a178336bf",""
"Ingest_Customers Data","Succeeded","","Copy","6/1/2026, 11:56:59 AM","24s","AutoResolveIntegrationRuntime (South India)","{}","4176ba06-7091-4154-bcea-a5e73b0c2208",""
"Ingest_support_tickets","Succeeded","","Copy","6/1/2026, 11:56:59 AM","24s","AutoResolveIntegrationRuntime (South India)","{}","4d53ba94-30a9-4d6e-9836-f30c7e5924e0",""
"Ingest_Billing_events","Succeeded","","Copy","6/1/2026, 11:56:59 AM","31s","AutoResolveIntegrationRuntime (South India)","{}","2b59ecbb-c533-409b-be4d-3c8962f2f11f",""
"Ingest Telemetry_Data","Succeeded","","Copy","6/1/2026, 11:56:59 AM","22s","AutoResolveIntegrationRuntime (South India)","{}","8cd3c48b-ac14-4396-9f16-0bcc2cdbd697",""
